Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1669766400000,2022-11-30,1INCHBTC,3.151e-05,3.183e-05,3.048e-05,3.062e-05,324747.2,10.03326138,1640
1669680000000,2022-11-29,1INCHBTC,3.178e-05,3.191e-05,3.132e-05,3.156e-05,207274.3,6.54185168,1012
1669593600000,2022-11-28,1INCHBTC,3.159e-05,3.281e-05,3.109e-05,3.187e-05,369568.7,11.75504672,2427
1669507200000,2022-11-27,1INCHBTC,3.154e-05,3.385e-05,3.136e-05,3.16e-05,859011.7,27.95818692,5865
1669420800000,2022-11-26,1INCHBTC,3.127e-05,3.178e-05,3.111e-05,3.152e-05,296800.8,9.34870085,1484
1669334400000,2022-11-25,1INCHBTC,3.173e-05,3.18e-05,3.104e-05,3.13e-05,179919.1,5.63910435,2573
1669248000000,2022-11-24,1INCHBTC,3.283e-05,3.295e-05,3.154e-05,3.175e-05,125231.5,4.01850606,1529
1669161600000,2022-11-23,1INCHBTC,3.31e-05,3.314e-05,3.212e-05,3.283e-05,253167.2,8.25671991,2255
1669075200000,2022-11-22,1INCHBTC,3.181e-05,3.66e-05,3.167e-05,3.309e-05,726921.6,24.03111986,3925
1668988800000,2022-11-21,1INCHBTC,3.095e-05,3.219e-05,3.074e-05,3.184e-05,300901.7,9.4266915,2160
1668902400000,2022-11-20,1INCHBTC,3.219e-05,3.243e-05,3.081e-05,3.096e-05,186566.7,5.90352035,1328
1668816000000,2022-11-19,1INCHBTC,3.163e-05,3.292e-05,3.128e-05,3.211e-05,280752.5,9.01246802,1438
1668729600000,2022-11-18,1INCHBTC,3.089e-05,3.211e-05,3.076e-05,3.164e-05,281644.6,8.88407371,2149
1668643200000,2022-11-17,1INCHBTC,3.136e-05,3.159e-05,3.065e-05,3.086e-05,5926948.0,184.90097342,14573
1668556800000,2022-11-16,1INCHBTC,3.144e-05,3.204e-05,3.126e-05,3.14e-05,240827.8,7.64103313,2143
1668470400000,2022-11-15,1INCHBTC,3.101e-05,3.193e-05,3.058e-05,3.14e-05,297733.0,9.31270355,2425
1668384000000,2022-11-14,1INCHBTC,3.19e-05,3.2e-05,2.944e-05,3.101e-05,640879.1,19.55315705,4708
1668297600000,2022-11-13,1INCHBTC,3.018e-05,3.215e-05,2.98e-05,3.191e-05,893477.7,27.26203393,10205
1668211200000,2022-11-12,1INCHBTC,3.273e-05,3.288e-05,2.95e-05,3.024e-05,839696.8,25.5054039,9573
1668124800000,2022-11-11,1INCHBTC,3.237e-05,3.302e-05,3.174e-05,3.277e-05,450581.7,14.64670291,3330
1668038400000,2022-11-10,1INCHBTC,3.317e-05,3.317e-05,3.134e-05,3.231e-05,867623.5,28.05737914,5987
1667952000000,2022-11-09,1INCHBTC,2.997e-05,3.331e-05,2.941e-05,3.326e-05,1312903.0,40.98864103,9795
1667865600000,2022-11-08,1INCHBTC,3.084e-05,3.155e-05,2.939e-05,2.99e-05,1424834.5,43.06996722,10238
1667779200000,2022-11-07,1INCHBTC,3.029e-05,3.19e-05,3.006e-05,3.086e-05,503500.7,15.5928213,4312
1667692800000,2022-11-06,1INCHBTC,3.037e-05,3.173e-05,3.01e-05,3.035e-05,424118.9,13.13553531,4366
1667606400000,2022-11-05,1INCHBTC,3.087e-05,3.112e-05,2.976e-05,3.029e-05,246479.9,7.52859481,2910
1667520000000,2022-11-04,1INCHBTC,3.006e-05,3.134e-05,2.997e-05,3.087e-05,419333.6,12.87299586,3447
